place_id,place_name,review_unique_key,reviewer_name,star_rating,review_date_text,review_date_estimated,likes_count,review_text,owner_response_text,aspect_name,mentioned,mention_count_in_review,aspect_sentiment_score,aspect_sentiment_label
xuekewu,雪可屋,37547f61bdfada966c73dad940f01b38b72a05f5b89d720aed074e10c275eccb,Lucky Tan,3.0,9 年前,2017-03-26,0,"老店,咖啡豆自己烘培",,飲品,1,1,0.0,neutral
xuekewu,雪可屋,efd317c5c879f98f5168e3b510223609b7be46aeab0ecd17705b89c75a3e228b,Ren Yang,5.0,2 年前,2024-03-26,0,珍珠奶茶很好喝😋服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:5氣氛:5,,飲品,1,1,1.5,positive
xuekewu,雪可屋,efd317c5c879f98f5168e3b510223609b7be46aeab0ecd17705b89c75a3e228b,Ren Yang,5.0,2 年前,2024-03-26,0,珍珠奶茶很好喝😋服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:5氣氛:5,,正餐,1,1,1.5,positive
xuekewu,雪可屋,efd317c5c879f98f5168e3b510223609b7be46aeab0ecd17705b89c75a3e228b,Ren Yang,5.0,2 年前,2024-03-26,0,珍珠奶茶很好喝😋服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:5氣氛:5,,店員/服務,1,1,1.5,positive
xuekewu,雪可屋,b87553b497fca7f814bb6e309e33792710c3293d74b75cc4848760477442451f,Che,5.0,上次編輯：3 年前,2023-03-26,0,台北最適合和朋友聚會的地方之一。餐點:4服務:4氣氛:5,,正餐,1,1,0.0,neutral
xuekewu,雪可屋,b87553b497fca7f814bb6e309e33792710c3293d74b75cc4848760477442451f,Che,5.0,上次編輯：3 年前,2023-03-26,0,台北最適合和朋友聚會的地方之一。餐點:4服務:4氣氛:5,,功能用途,1,1,0.0,neutral
xuekewu,雪可屋,b87553b497fca7f814bb6e309e33792710c3293d74b75cc4848760477442451f,Che,5.0,上次編輯：3 年前,2023-03-26,0,台北最適合和朋友聚會的地方之一。餐點:4服務:4氣氛:5,,店員/服務,1,1,0.0,neutral
xuekewu,雪可屋,1583d983fda3c035645ca0694f6c7e6017c0bc5fc88a8ba5c33e218d57c411b0,cafesurfing,5.0,4 年前,2022-03-26,1,"好地方,食物和咖啡都很棒! !",,飲品,1,1,0.0,neutral
xuekewu,雪可屋,915d4d4157527d5ec6aeb064c4a4d81eea6e25fc2c38f3a527e8a3c63619bbc2,呂慈,4.0,7 年前,2019-03-26,0,沒人說 牛肉飯跟咖哩雞肉飯不錯吃 是家常飯類型的 晚上九點半在附近 遇到雪可屋很幸運 鹵豆乾很推,,正餐,1,1,1.0,positive
xuekewu,雪可屋,0d83396dd0c914c60da9da65c6005a459df89d1c3249fc5896d25f197446b8fa,Elizabeth Miller,5.0,6 年前,2020-03-26,0,"一家風格古樸的咖啡館,咖啡很棒,小吃也很美味。是放鬆、安靜交談和學習的好去處。",,飲品,1,1,1.5,positive
xuekewu,雪可屋,0d83396dd0c914c60da9da65c6005a459df89d1c3249fc5896d25f197446b8fa,Elizabeth Miller,5.0,6 年前,2020-03-26,0,"一家風格古樸的咖啡館,咖啡很棒,小吃也很美味。是放鬆、安靜交談和學習的好去處。",,氛圍/風格,1,1,1.5,positive
xuekewu,雪可屋,666b98a361ea79d6b07afa61540c6ee83e3d0bed4f4978e6e512bb4707b22a9d,WY SETO,5.0,1 年前,2025-03-26,0,一定要吃炸豆腐噢! !餐點:5服務:5氣氛:5,,正餐,1,1,0.0,neutral
xuekewu,雪可屋,666b98a361ea79d6b07afa61540c6ee83e3d0bed4f4978e6e512bb4707b22a9d,WY SETO,5.0,1 年前,2025-03-26,0,一定要吃炸豆腐噢! !餐點:5服務:5氣氛:5,,店員/服務,1,1,0.0,neutral
xuekewu,雪可屋,cbe630a704b7f82f97f44261c82f012bae0617c80d32a28c10afa9c89e07c696,J G,3.0,2 年前,2024-03-26,0,"食物不錯,但有點貴。聊天的好地方,但沒辦法工作。桌子擺放不方便,而且我們的門市沒有無線網路。服務內用餐點類型早餐平均每人消費金額$1-200餐點:4服務:3氣氛:3",,正餐,1,1,0.0,neutral
xuekewu,雪可屋,cbe630a704b7f82f97f44261c82f012bae0617c80d32a28c10afa9c89e07c696,J G,3.0,2 年前,2024-03-26,0,"食物不錯,但有點貴。聊天的好地方,但沒辦法工作。桌子擺放不方便,而且我們的門市沒有無線網路。服務內用餐點類型早餐平均每人消費金額$1-200餐點:4服務:3氣氛:3",,店員/服務,1,1,0.0,neutral
xuekewu,雪可屋,cbe630a704b7f82f97f44261c82f012bae0617c80d32a28c10afa9c89e07c696,J G,3.0,2 年前,2024-03-26,0,"食物不錯,但有點貴。聊天的好地方,但沒辦法工作。桌子擺放不方便,而且我們的門市沒有無線網路。服務內用餐點類型早餐平均每人消費金額$1-200餐點:4服務:3氣氛:3",,價格,1,1,-1.0,negative
xuekewu,雪可屋,bf9c6173236ddb17145ac94d1507f34ac0dcf209fe81d7dba9642082f11ae2e6,Franek GrumpyBean,3.0,上次編輯：9 年前,2017-03-26,0,"氛圍如何?環境簡陋?破舊?很難說。咖啡價格不像其他一些店那麼離譜。品質方面,出品尚可-整體來說性價比不錯。",,飲品,1,1,0.0,neutral
xuekewu,雪可屋,bf9c6173236ddb17145ac94d1507f34ac0dcf209fe81d7dba9642082f11ae2e6,Franek GrumpyBean,3.0,上次編輯：9 年前,2017-03-26,0,"氛圍如何?環境簡陋?破舊?很難說。咖啡價格不像其他一些店那麼離譜。品質方面,出品尚可-整體來說性價比不錯。",,氛圍/風格,1,1,0.0,neutral
xuekewu,雪可屋,bf9c6173236ddb17145ac94d1507f34ac0dcf209fe81d7dba9642082f11ae2e6,Franek GrumpyBean,3.0,上次編輯：9 年前,2017-03-26,0,"氛圍如何?環境簡陋?破舊?很難說。咖啡價格不像其他一些店那麼離譜。品質方面,出品尚可-整體來說性價比不錯。",,價格,1,1,0.0,neutral
xuekewu,雪可屋,da61dcf89866739be7b229911db51a6566d548202c2ab168489558dd3f37bf84,Tracy Lee,4.0,7 年前,2019-03-26,0,"小而溫馨 他們在那裡演奏美妙的爵士樂 營業時間很長 食物和茶都很棒 尤其是炒飯和檸檬茶 而且價格也很合理 這是與朋友一起放鬆身心的絕佳場所 空間位置剛好,但氣氛還不錯 價格合理 炒飯跟檸檬茶很讚 很適合跟朋友聊天的地方",,飲品,1,2,1.25,positive
xuekewu,雪可屋,da61dcf89866739be7b229911db51a6566d548202c2ab168489558dd3f37bf84,Tracy Lee,4.0,7 年前,2019-03-26,0,"小而溫馨 他們在那裡演奏美妙的爵士樂 營業時間很長 食物和茶都很棒 尤其是炒飯和檸檬茶 而且價格也很合理 這是與朋友一起放鬆身心的絕佳場所 空間位置剛好,但氣氛還不錯 價格合理 炒飯跟檸檬茶很讚 很適合跟朋友聊天的地方",,正餐,1,2,1.25,positive
xuekewu,雪可屋,da61dcf89866739be7b229911db51a6566d548202c2ab168489558dd3f37bf84,Tracy Lee,4.0,7 年前,2019-03-26,0,"小而溫馨 他們在那裡演奏美妙的爵士樂 營業時間很長 食物和茶都很棒 尤其是炒飯和檸檬茶 而且價格也很合理 這是與朋友一起放鬆身心的絕佳場所 空間位置剛好,但氣氛還不錯 價格合理 炒飯跟檸檬茶很讚 很適合跟朋友聊天的地方",,功能用途,1,1,1.0,positive
xuekewu,雪可屋,da61dcf89866739be7b229911db51a6566d548202c2ab168489558dd3f37bf84,Tracy Lee,4.0,7 年前,2019-03-26,0,"小而溫馨 他們在那裡演奏美妙的爵士樂 營業時間很長 食物和茶都很棒 尤其是炒飯和檸檬茶 而且價格也很合理 這是與朋友一起放鬆身心的絕佳場所 空間位置剛好,但氣氛還不錯 價格合理 炒飯跟檸檬茶很讚 很適合跟朋友聊天的地方",,價格,1,2,1.25,positive
xuekewu,雪可屋,bded0a7262a3c1964dd43053cde9f7f365b23bcbda929827ff97c66567e0373f,Santa Natalia,4.0,7 年前,2019-03-26,0,"很棒的老式咖啡館,離南洋理工大學很近。 強烈推薦他們的乾果茶❤.. 香氣撲鼻,喝了還舒緩胃部不適。 價格中等偏高。 可惜的是,椅子太舊了,坐起來不太舒服,希望他們能趕快修好。 而且地板上還有個洞。",,飲品,1,2,0.5,neutral
xuekewu,雪可屋,bded0a7262a3c1964dd43053cde9f7f365b23bcbda929827ff97c66567e0373f,Santa Natalia,4.0,7 年前,2019-03-26,0,"很棒的老式咖啡館,離南洋理工大學很近。 強烈推薦他們的乾果茶❤.. 香氣撲鼻,喝了還舒緩胃部不適。 價格中等偏高。 可惜的是,椅子太舊了,坐起來不太舒服,希望他們能趕快修好。 而且地板上還有個洞。",,價格,1,1,0.0,neutral
